"Sample_ID","Cells_Before_QC","Cells_After_QC","Percentage_Kept"
"GSM8561110",6181,1274,20.6
"GSM8561111",2829,438,15.5
"GSM8561112",2485,324,13
"GSM8561113",6358,2582,40.6
"GSM8561114",16270,3327,20.4
"GSM8561115",3479,211,6.1
"GSM8561116",4212,231,5.5
"GSM8561117",5172,375,7.3
"GSM8561118",6120,1130,18.5
"GSM8561119",1986,187,9.4
"GSM8561120",606,132,21.8
"GSM8561121",2819,287,10.2
"GSM8561122",5094,278,5.5
"GSM8561123",2696,134,5
"GSM8561124",7699,158,2.1
"GSM8561125",688,202,29.4
"GSM8561126",2696,134,5
"GSM8561127",688,202,29.4
"GSM8561128",3589,371,10.3
"GSM8561129",1228,205,16.7
"GSM8561130",3440,522,15.2
"GSM8561131",4050,254,6.3
"GSM8561132",42204,2390,5.7
"GSM8561133",5244,667,12.7
"GSM8561134",3211,504,15.7
"GSM8561135",3455,223,6.5
"GSM8561136",4596,552,12
"GSM8561137",1222,248,20.3
"GSM8561138",2723,773,28.4
"GSM8561139",2442,565,23.1
"GSM8561140",2765,479,17.3
"GSM8561141",1375,413,30
"GSM8561142",1437,489,34
"GSM8561143",3134,753,24
"GSM8561144",1024,310,30.3
"GSM8561145",1780,414,23.3
"GSM8561146",4544,1059,23.3
"GSM8561147",1860,559,30.1
"GSM8561148",4458,1035,23.2
"GSM8561149",3983,422,10.6
