"PC","Variance","CumulativeVariance"
1,0.160980407287139,0.160980407287139
2,0.116487984302965,0.277468391590104
3,0.0732497910166454,0.350718182606749
4,0.0618122450108277,0.412530427617577
5,0.0539280765515057,0.466458504169083
6,0.0516372365948758,0.518095740763958
7,0.0454008672229121,0.563496607986871
8,0.0358777461963625,0.599374354183233
9,0.0284288428078907,0.627803196991124
10,0.0204775757847588,0.648280772775882
11,0.0185682431852641,0.666849015961147
12,0.0172699708455515,0.684118986806698
13,0.0147559407443758,0.698874927551074
14,0.0126376223731886,0.711512549924262
15,0.0118231818752812,0.723335731799544
16,0.010947991943833,0.734283723743377
17,0.0103808711434666,0.744664594886843
18,0.0100998435580199,0.754764438444863
19,0.00899583155056779,0.763760269995431
20,0.00727629008896348,0.771036560084394
21,0.00717296886696139,0.778209528951356
22,0.00697851158015512,0.785188040531511
23,0.00691808920542061,0.792106129736932
24,0.00630529015658081,0.798411419893512
25,0.00603371305830969,0.804445132951822
26,0.00582921315884494,0.810274346110667
27,0.00559233693331221,0.815866683043979
28,0.00545384732639581,0.821320530370375
29,0.00532567336455302,0.826646203734928
30,0.00522060211506358,0.831866805849992
31,0.00480052549146997,0.836667331341462
32,0.0046041943810544,0.841271525722516
33,0.0045676413915411,0.845839167114057
34,0.00435345350643479,0.850192620620492
35,0.00424279970482236,0.854435420325314
36,0.00409962621606397,0.858535046541378
37,0.00379052603192323,0.862325572573301
38,0.00372552859312191,0.866051101166423
39,0.00362597052227352,0.869677071688697
40,0.00357468462637395,0.873251756315071
41,0.0034643524156501,0.876716108730721
42,0.00327800234337042,0.879994111074091
43,0.0030778194217827,0.883071930495874
44,0.00301202591362173,0.886083956409496
45,0.00292643098165035,0.889010387391146
46,0.0028985361661916,0.891908923557338
47,0.00287517598930038,0.894784099546638
48,0.00278503198212579,0.897569131528764
49,0.00268802186189189,0.900257153390656
50,0.00267899126282706,0.902936144653483
51,0.00259103976409286,0.905527184417576
52,0.00255638699315784,0.908083571410733
53,0.00254545160559353,0.910629023016327
54,0.0024620957734533,0.91309111878978
55,0.00244924840933784,0.915540367199118
56,0.00239932180457165,0.91793968900369
57,0.00233818947996906,0.920277878483659
58,0.00230168322350159,0.92257956170716
59,0.00225019274436911,0.92482975445153
60,0.0022008232355175,0.927030577687047
61,0.00218832157112025,0.929218899258167
62,0.00214303037431589,0.931361929632483
63,0.00210720590970549,0.933469135542189
64,0.00208984313864732,0.935558978680836
65,0.00206750491781798,0.937626483598654
66,0.00205495590626685,0.939681439504921
67,0.00202770075059886,0.94170914025552
68,0.00200589981337088,0.943715040068891
69,0.0019724203801242,0.945687460449015
70,0.00194173275596349,0.947629193204978
71,0.00190823702364542,0.949537430228624
72,0.00190451551152021,0.951441945740144
73,0.00187397104536144,0.953315916785505
74,0.00186438747990486,0.95518030426541
75,0.00184689133881587,0.957027195604226
76,0.00183332980552706,0.958860525409753
77,0.00182604514580431,0.960686570555557
78,0.00180274739352459,0.962489317949082
79,0.00178132307926297,0.964270641028345
80,0.0017698352329625,0.966040476261308
81,0.00176967189169198,0.967810148152999
82,0.00176176758000956,0.969571915733009
83,0.00174272921558118,0.97131464494859
84,0.00173759173247875,0.973052236681069
85,0.00172284686398371,0.974775083545053
86,0.00171825121189827,0.976493334756951
87,0.00171525078808646,0.978208585545037
88,0.00171053814494646,0.979919123689984
89,0.00170526833172614,0.98162439202171
90,0.00170124612393911,0.983325638145649
91,0.00169197063342843,0.985017608779078
92,0.00168611001247218,0.98670371879155
93,0.00168088607801526,0.988384604869565
94,0.00167781485619726,0.990062419725762
95,0.00166753728749414,0.991729957013256
96,0.00166522549189558,0.993395182505152
97,0.00165778491855967,0.995052967423712
98,0.00165387784990807,0.99670684527362
99,0.00164700905331104,0.998353854326931
100,0.00164614567306932,1
